"","user_id","status_id","created_at","screen_name","text","source","lon","lat","Full Address","statename"
"2962","817709996372725760","1104138679474360321",2019-03-08 21:55:49,"lejasmine_pena","2/4 with the flu 😭 my baby boy just couldn’t resist checking on me yesterday’s now he’s down himself. 😭😭","Twitter for iPhone",-96.5283022,30.3460432,"17435 TX-36, Somerville, TX 77879, USA","Texas"
"2963","2201740686","1104138398959169536",2019-03-08 21:54:42,"KyleThatKyle","A positive side effect is I’m internally healthy as an ox and I also got my flu shot. 💪","Twitter for iPhone",-118.2436849,34.0522342,"106 W 1st St, Los Angeles, CA 90012, USA","California"
"2964","149296998","1104080102155927552",2019-03-08 18:03:03,"3rdrockhome","There's a second wave of severe flu infections happening, CDC says - CNN https://t.co/5fPmjXUswN","dlvr.it",-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA","Kansas"
"2965","149296998","1104138354902233089",2019-03-08 21:54:32,"3rdrockhome","Flu season has peaked, but nasty strain is on rise: report - Fox News https://t.co/1R3eJ5kqpi","dlvr.it",-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA","Kansas"
"2966","149296998","1104095072927145984",2019-03-08 19:02:33,"3rdrockhome","Flu season may not have peaked, and there's another wave of severe infections underway, CDC says - CNN https://t.co/54uF3VRTYU","dlvr.it",-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA","Kansas"
"2967","551618376","1104138089113571333",2019-03-08 21:53:28,"zsuzyq","https://t.co/NIGTQXbLiT Not to late for a flu shot my friends. Flu ain't no game","Twitter Web Client",-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA","Kansas"
"2968","19619169","1104138062148231168",2019-03-08 21:53:22,"AmandaShoots","I took some photos of @Shinedown while I was really sick. (that damn flu) I’m actually pretty happy with the results considering... #AttentionAttention https://t.co/BiiMvaN9i8","Twitter for iPhone",-81.5157535,27.6648274,"Avon Park, FL 33825, USA","Florida"
"2969","451688547","1104137923413315584",2019-03-08 21:52:49,"cheekyrunner123","@iownjd Hope you feel better. I feel for ya but at the same time- glad I can’t catch the flu by tweet","Twitter for iPhone",-77.1945247,41.2033216,"314 Shorecrest Ln, Linden, PA 17744, USA","Pennsylvania"
"2970","767442885591511041","1104137746656972802",2019-03-08 21:52:07,"Maci_delayne","i would get the flu my first week of workkkk :/","Twitter for iPhone",-99.9018131,31.9685988,"Froste Ln, Winters, TX 79567, USA","Texas"
"2971","387512937","1104137649197998080",2019-03-08 21:51:44,"BrittaniSwitzer","Having the flu sucks one minute I’ll be hot and have to take my clothes off and then the next I’m freezing and have to put on a jacket. What the heck?","Twitter for iPhone",-111.9400054,33.4255104,"501 S Mill Ave, Tempe, AZ 85281, USA","Arizona"
"2972","951105253692362758","1104137466515214336",2019-03-08 21:51:00,"Hoosiersvaccin8","The #flu can turn deadly for anyone, but it is most dangerous for adults over the age of 65 and children under the age of 5. https://t.co/s58idl3Kwa","Buffer",-86.1349019,40.2671941,"6015 W 250 S, Tipton, IN 46072, USA","Indiana"
"2973","3982877112","1104137344544882688",2019-03-08 21:50:31,"LNKhealth","#LNK Lancaster County Weekly Flu Summary Report
https://t.co/bxGUKmd1Fo","Twitter Web Client",-96.7025955,40.813616,"1273 P St, Lincoln, NE 68508, USA","Nebraska"
"2974","3148880348","1104137300634673152",2019-03-08 21:50:21,"aabasovski","At home really sick with the flu. Watching IJ and actually let out a loud laugh that cost me some painful coughs but was worth it. Thanks to the jokers @Joe_Gatto @BQQuinn @jamessmurray @SalVulcano for making the day a lil better.","Twitter for Android",-87.8631362,42.8858503,"3563 E Puetz Rd, Oak Creek, WI 53154, USA","Wisconsin"
"2975","2722726386","1104137292258643969",2019-03-08 21:50:19,"HSSD_Trojans","Trojan Good Things, 3/8: This week’s shout out goes to our @Park_IB_School staff members who have been super positive and helpful all week during massive staff absences due to widespread flu and illness. See: https://t.co/j912W5iR4H https://t.co/TKfFHFKQXK","Twitter Web Client",-93.0551795,34.5037004,"Central Ave & W Grand St, Hot Springs, AR 71901, USA","Arkansas"
"2976","2518794768","1104105996346114054",2019-03-08 19:45:57,"biancalarissita","I might have the flu and my bosses won’t give me a break lol I need a new job","Twitter for iPhone",-99.9018131,31.9685988,"Froste Ln, Winters, TX 79567, USA","Texas"
"2977","2518794768","1104137202202750976",2019-03-08 21:49:57,"biancalarissita","I haven’t had the damn flu in almost 10 years who tf gave it to me","Twitter for iPhone",-99.9018131,31.9685988,"Froste Ln, Winters, TX 79567, USA","Texas"
"2978","2472935917","1104137174566486016",2019-03-08 21:49:50,"OptimalResearch","#FluFriday and the map has yet to look as red as it does this right now. A handful of states are back to green. Have you avoided the flu this season? If you did, do you think it was because you got a flu shot? https://t.co/r2cySaYBBM","HubSpot",-77.1527578,39.0839973,"S Washington St & Court House Sq, Rockville, MD 20850, USA","Maryland"
"2979","892685579049193472","1104052919677190144",2019-03-08 16:15:03,"APortock","Flu test= not a fun one","Twitter for Android",-77.1945247,41.2033216,"314 Shorecrest Ln, Linden, PA 17744, USA","Pennsylvania"
"2980","892685579049193472","1104137163938193409",2019-03-08 21:49:48,"APortock","My moms the cutest, I'm home sick with the flu so I asked her to pick up my prescription for me, but she also came home with tons of soup, ginger ale, snacks and even a pair of flamingo pajama pants to cheer me up awh","Twitter Web Client",-77.1945247,41.2033216,"314 Shorecrest Ln, Linden, PA 17744, USA","Pennsylvania"
